FID,Descriptio,Actual_Fin,Address,Location,X,Y,x2,y2
174,EMERGENCY LEAK,2/16/2022 12:00:00 AM,107 Standish Dr,107 Standish Dr,-8472118.9,5317846.957,-8472118.9,5317846.957
175,EMERGENCY LEAK,2/16/2022 12:00:00 AM,100 (Block) Temple St.,20' W. of Hydrant @ N/W Corner of intersection (On S. Side of Road),-8477125.242,5318146.587,-8477125.242,5318146.587
176,EMERGENCY LEAK,2/16/2022 12:00:00 AM,Erie Blvd. W & Van Rennselaer St,N/W Corner of intersection,-8478803.182,5319402.723,-8478803.182,5319402.723
177,EMERGENCY LEAK,2/16/2022 12:00:00 AM,"306 S Beech St, Syracuse, New York, 13210",S BEECH ST 200,-8474502.614,5319359.077,-8474502.614,5319359.077
178,EMERGENCY LEAK,2/16/2022 12:00:00 AM,216 BASIN ST SYRACUSE  NY,ACROSS THE STREET OF 216 BASIN ST,-8477832.69,5321523.822,-8477832.69,5321523.822
179,EMERGENCY LEAK,2/16/2022 12:00:00 AM,545 Buckingham Ave,545 Buckingham Ave,-8473684.86,5315537.893,-8473684.86,5315537.893
180,EMERGENCY LEAK,2/16/2022 12:00:00 AM,102 Carlton Rd.,30' South of Hydrant,-8479986.647,5315612.707,-8479986.647,5315612.707
181,EMERGENCY LEAK,2/16/2022 12:00:00 AM,"1101 N Salina St, Syracuse, New York, 13208",N SALINA ST 1100,-8477739.212,5321857.809,-8477739.212,5321857.809
182,EMERGENCY LEAK,2/15/2022 12:00:00 AM,"Wadsworth St & Scoville Ave, Syracuse, New York, 13203",SCOVILLE AV 100,-8475739.408,5322517.072,-8475739.408,5322517.072
183,EMERGENCY LEAK,2/15/2022 12:00:00 AM,"2250 Park St,  Syracuse,  New York,  13208","2250 Park St,  Syracuse,  New York,  13208",-8479546.255,5323605.738,-8479546.255,5323605.738
184,EMERGENCY LEAK,2/15/2022 12:00:00 AM,216 Pharis St.,216 Pharis St.,-8481611.688,5320630.363,-8481611.688,5320630.363
185,EMERGENCY LEAK,2/15/2022 12:00:00 AM,"1126 Erie Blvd W, Syracuse, New York, 13204","1126 Erie Blvd W, Syracuse, New York, 13204",-8480177.315,5319564.847,-8480177.315,5319564.847
186,EMERGENCY LEAK,2/15/2022 12:00:00 AM,129 Magnolia St.,129 Magnolia St.,-8479769.922,5318969.645,-8479769.922,5318969.645
187,REPLACE MAIN,2/15/2022 12:00:00 AM,"Erie Blvd W & Van Rensselaer St, Syracuse, New York, 13204",N/W corner ERIE BLVD W @ VAN RENSSELAER ST--BEHIND POLE #11,-8478877.933,5319374.669,-8478877.933,5319374.669
188,EMERGENCY LEAK,2/14/2022 12:00:00 AM,"111 Dorchester Ave,  Syracuse,  New York,  13203",DORCHESTER AV 100,-8474226.174,5322429.896,-8474226.174,5322429.896
189,EMERGENCY LEAK,2/13/2022 12:00:00 AM,139 Alden St.,139 Alden St.,-8475101.184,5314964.066,-8475101.184,5314964.066
190,EMERGENCY LEAK,2/12/2022 12:00:00 AM,104 Union Ave,104 Union Ave,-8476829.84,5320487.929,-8476829.84,5320487.929
191,EMERGENCY LEAK,2/12/2022 12:00:00 AM,104 Union Ave,104 Union Ave,-8476829.84,5320487.929,-8476829.84,5320487.929
192,EMERGENCY LEAK,2/9/2022 12:00:00 AM,135 Minerva St,135 Minerva St,-8476259.796,5312423.631,-8476259.796,5312423.631
193,EMERGENCY LEAK,2/7/2022 12:00:00 AM,Seeley Rd. @ Erie Blvd. E.,S/E Corner of intersection,-8471864.762,5320113.2,-8471864.762,5320113.2
194,EMERGENCY LEAK,2/3/2022 12:00:00 AM,"108 Russell Pl,  Syracuse,  New York,  13207",RUSSELL PL 100,-8478966.845,5314295.937,-8478966.845,5314295.937
195,EMERGENCY LEAK,2/3/2022 12:00:00 AM,"3412 James St, Syracuse, New York, 13206",3412 JAMES ST & MILFORD DR W,-8471346.34,5322497.803,-8471346.34,5322497.803
196,EMERGENCY LEAK,2/2/2022 12:00:00 AM,Willis Ave. & Kane Rd.,In Intersection,-8482343.666,5321252.566,-8482343.666,5321252.566
